sessieID;naam;datum;beginUur;eindUur;spreker;korteInhoud;evenement_evenementID
000020;Cryptography in Praktijk;2025-01-30;13:00;15:00;Isabella Martinez;Ontdek praktische toepassingen van cryptografie in cybersecurity en gegevensbescherming.;000010
000021;Introductie tot Internet of Things;2025-02-17;10:00;12:00;David Smith;Een inleiding tot het Internet of Things (IoT) en zijn toepassingen.;000011
000022;IoT Sensornetwerken;2025-02-17;13:00;15:00;Jennifer Taylor;Leer hoe je sensornetwerken kunt opzetten en beheren voor IoT-toepassingen.;000011
000023;Software Testing Fundamentals;2025-03-05;10:00;12:00;Daniel Brown;Leer de basisprincipes van software testing en testmethodologieën.;000012
000024;Testautomatisering;2025-03-05;13:00;15:00;Emily Johnson;Ontdek hoe je testautomatisering kunt implementeren voor efficiëntere softwareontwikkeling.;000012
000025;Introductie tot Artificial Intelligence;2025-04-18;10:00;12:00;Michael Thompson;Een inleiding tot kunstmatige intelligentie en zijn toepassingen in verschillende domeinen.;000013
000026;Natural Language Processing;2025-04-18;13:00;15:00;Sophia Wilson;Leer hoe je natuurlijke taalverwerking kunt implementeren met behulp van AI-technieken.;000013
000027;IT Ethics and Compliance;2025-05-22;10:00;12:00;Lucas Adams;Een discussie over ethische kwesties en nalevingsnormen in de IT-sector.;000014
000028;Privacy by Design;2025-05-22;13:00;15:00;Isabella Garcia;Ontdek hoe je privacy by design principes kunt toepassen bij het ontwerpen van IT-systemen.;000014
000029;Cloud Security Best Practices;2025-06-14;10:00;12:00;Ryan Wilson;Leer de beste praktijken voor het beveiligen van cloudgebaseerde infrastructuren en services.;000015
000030;Identity and Access Management in the Cloud;2025-06-14;13:00;15:00;Emma Martinez;Een overzicht van identity and access management strategieën voor cloudomgevingen.;000015
000031;Software Architecture Patterns;2025-07-09;10:00;12:00;James Brown;Een diepgaande blik op software-architectuurpatronen en best practices.;000016
000032;Microservices Architectuur;2025-07-09;13:00;15:00;Sophie Moore;Leer hoe je microservices kunt ontwerpen en implementeren voor schaalbare en flexibele applicaties.;000016
000033;Blockchain voor Bedrijven;2025-08-05;10:00;12:00;David Taylor;Ontdek hoe blockchain-technologieën kunnen worden toegepast in zakelijke omgevingen voor verbeterde efficiëntie en transparantie.;000017
000034;Supply Chain Management met Blockchain;2025-08-05;13:00;15:00;Jennifer Anderson;Een overzicht van hoe blockchain de supply chain kan transformeren en optimaliseren.;000017
000035;DevOps Tools en Technieken;2025-09-22;10:00;12:00;Michael Moore;Ontdek populaire DevOps-tools en technieken voor continue integratie, implementatie en monitoring.;000018
000036;Containerisatie met Docker;2025-09-22;13:00;15:00;Emily Smith;Leer hoe je containerisatie kunt implementeren met Docker voor schaalbare en draagbare applicatieontwikkeling.;000018
000037;Artificial Intelligence in Finance;2025-10-11;10:00;12:00;Lucas Wilson;Ontdek hoe AI-technologieën de financiële sector transformeren en optimaliseren.;000019
000038;Machine Learning in Healthcare;2025-10-11;13:00;15:00;Isabella Johnson;Leer hoe machine learning kan worden toegepast in de gezondheidszorg voor verbeterde diagnose en behandeling.;000019
000039;Agile Development in Praktijk;2025-11-05;10:00;12:00;Ryan Martinez;Een praktische gids voor het implementeren van Agile methodologieën in softwareontwikkelingsprojecten.;000020
000040;Continuous Delivery Best Practices;2025-11-05;13:00;15:00;Emma Adams;Ontdek beste praktijken voor het implementeren van continue levering voor snellere en betrouwbaardere softwarelevering.;000020

